# live verification 2026-09-23 23:47-23:52 UTC (>6 min after apply at 23:40 UTC): GET from_path without following redirects, then GET the Location; per UA
# /start: Googlebot got a one-off 502 in the batch; re-checked 3x at 23:53 UTC -> 301 / -> 200 (both UAs)
from_path,expected_to,googlebot_hop1,googlebot_location,googlebot_final,chrome_hop1,chrome_location,chrome_final,ok
/study/revealing-the-antibacterial-power-of-hydrogen-releasing-pdh-nanohydride-against-drug-resistant-staphylococcus-aureus-an-in-depth-mechanism-study,/study/revealing-the-antibacterial-power-of-hydrogen-releasing-pdh-nanohydride-against-drug-resistant-staphylococcus-aureus-an-in-depth-mechanism-study-1775650467169,301,/study/revealing-the-antibacterial-power-of-hydrogen-releasing-pdh-nanohydride-against-drug-resistant-staphylococcus-aureus-an-in-depth-mechanism-study-1775650467169,200,301,/study/revealing-the-antibacterial-power-of-hydrogen-releasing-pdh-nanohydride-against-drug-resistant-staphylococcus-aureus-an-in-depth-mechanism-study-1775650467169,200,yes
/study/short-term-h2-inhalation-improves-running-performance-and-torso-strength-in-healthy-adults,/study/short-term-h2-inhalation-improves-running-performance-and-torso-strength-in-healthy-adults-1775650467139,301,/study/short-term-h2-inhalation-improves-running-performance-and-torso-strength-in-healthy-adults-1775650467139,200,301,/study/short-term-h2-inhalation-improves-running-performance-and-torso-strength-in-healthy-adults-1775650467139,200,yes
/study/the-therapeutic-effects-of-oral-intake-of-hydrogen-rich-water-on-cutaneous-wound-healing-in-dogs,/study/the-therapeutic-effects-of-oral-intake-of-hydrogen-rich-water-on-cutaneous-wound-healing-in-dogs-1775650467165,301,/study/the-therapeutic-effects-of-oral-intake-of-hydrogen-rich-water-on-cutaneous-wound-healing-in-dogs-1775650467165,200,301,/study/the-therapeutic-effects-of-oral-intake-of-hydrogen-rich-water-on-cutaneous-wound-healing-in-dogs-1775650467165,200,yes
/study/two-weeks-of-hydrogen-inhalation-can-significantly-reverse-adaptive-and-innate-immune-system-senescence-patients-with-advanced-non-small-cell-lung-cancer-a-self-controlled-study,/study/two-weeks-of-hydrogen-inhalation-can-significantly-reverse-adaptive-and-innate-immune-system-senescence-patients-with-advanced-non-small-cell-lung-cancer-a-self-controlled-study-1775650467134,301,/study/two-weeks-of-hydrogen-inhalation-can-significantly-reverse-adaptive-and-innate-immune-system-senescence-patients-with-advanced-non-small-cell-lung-cancer-a-self-controlled-study-1775650467134,200,301,/study/two-weeks-of-hydrogen-inhalation-can-significantly-reverse-adaptive-and-innate-immune-system-senescence-patients-with-advanced-non-small-cell-lung-cancer-a-self-controlled-study-1775650467134,200,yes
/tools/hydrogen-research,/,301,/,200,301,/,200,yes
/study,/studies,301,/studies,200,301,/studies,200,yes
/hydrogen-water,/studies,301,/studies,200,301,/studies,200,yes
/secondary-topic/kidney-stones,/explore-by-condition/kidney-health,301,/explore-by-condition/kidney-health,200,301,/explore-by-condition/kidney-health,200,yes
/study/a-randomized-double-blind-multi-center-trial-of-hydrogen-water-for-parkinsons-disease-protocol-and-baseline-characteristics,/study/a-randomized-double-blind-multi-center-trial-of-hydrogen-water-for-parkinsons-disease-protocol-and-baseline-characteristics-1775650467148,301,/study/a-randomized-double-blind-multi-center-trial-of-hydrogen-water-for-parkinsons-disease-protocol-and-baseline-characteristics-1775650467148,200,301,/study/a-randomized-double-blind-multi-center-trial-of-hydrogen-water-for-parkinsons-disease-protocol-and-baseline-characteristics-1775650467148,200,yes
/study/daily-ingestion-of-alkaline-electrolyzed-water-containing-hydrogen-influences-human-health-including-gastrointestinal-symptoms,/study/daily-ingestion-of-alkaline-electrolyzed-water-containing-hydrogen-influences-human-health-including-gastrointestinal-symptoms-1775650467139,301,/study/daily-ingestion-of-alkaline-electrolyzed-water-containing-hydrogen-influences-human-health-including-gastrointestinal-symptoms-1775650467139,200,301,/study/daily-ingestion-of-alkaline-electrolyzed-water-containing-hydrogen-influences-human-health-including-gastrointestinal-symptoms-1775650467139,200,yes
